Support Query,Top Category,Sub Category,Category Description
Why was I charged a fee for wire transfers?,Savings and Investments,Digital Banking Features,the top category is Savings and Investments - the sub category is Digital Banking Features
How can I avoid wire transfers fees in the future?,Fraud and Security,Card Activation/Deactivation,the top category is Fraud and Security - the sub category is Card Activation/Deactivation
Can you explain the wire transfers fee on my account?,Online and Mobile Banking,Account Information,the top category is Online and Mobile Banking - the sub category is Account Information
Why was I charged a fee for wire transfers?,Fees and Charges,Dispute Charges,the top category is Fees and Charges - the sub category is Dispute Charges
What are the fees associated with account maintenance?,Fees and Charges,Reporting Fraud,the top category is Fees and Charges - the sub category is Reporting Fraud
"I noticed an unexpected transaction charge, what is this for?",Online and Mobile Banking,Reporting Fraud,the top category is Online and Mobile Banking - the sub category is Reporting Fraud
Can you explain the online banking fee on my account?,Customer Service,Lost/Stolen Cards,the top category is Customer Service - the sub category is Lost/Stolen Cards
"I noticed an unexpected account maintenance charge, what is this for?",Payments and Transfers,Reporting Fraud,the top category is Payments and Transfers - the sub category is Reporting Fraud
Can you explain the account maintenance fee on my account?,Fees and Charges,Lost/Stolen Cards,the top category is Fees and Charges - the sub category is Lost/Stolen Cards
How can I set up fraud alerts on my account?,Fraud and Security,Security Measures,the top category is Fraud and Security - the sub category is Security Measures
What are the fees associated with online banking?,Payments and Transfers,Loan Application,the top category is Payments and Transfers - the sub category is Loan Application
"I noticed an unexpected account maintenance charge, what is this for?",Fraud and Security,Account Maintenance,the top category is Fraud and Security - the sub category is Account Maintenance
Why was I charged a fee for online banking?,Fees and Charges,Account Opening,the top category is Fees and Charges - the sub category is Account Opening
What are the fees associated with ATM withdrawals?,Payments and Transfers,Rates and Terms,the top category is Payments and Transfers - the sub category is Rates and Terms
Why was I charged a fee for account maintenance?,Customer Service,Understanding Fees,the top category is Customer Service - the sub category is Understanding Fees
What are the fees associated with account maintenance?,Online and Mobile Banking,Security and Access,the top category is Online and Mobile Banking - the sub category is Security and Access
Why was I charged a fee for online banking?,Transaction Services,Rates and Terms,the top category is Transaction Services - the sub category is Rates and Terms
"I noticed an unexpected online banking charge, what is this for?",Savings and Investments,Special Requests,the top category is Savings and Investments - the sub category is Special Requests
Why was I charged a fee for account maintenance?,Fraud and Security,Identity Theft,the top category is Fraud and Security - the sub category is Identity Theft
What steps should I take if I'm a victim of identity theft?,Fraud and Security,Identity Theft,the top category is Fraud and Security - the sub category is Identity Theft
"There is a mistake in my bill payment, how do I correct it?",Payments and Transfers,Bill Payments,the top category is Payments and Transfers - the sub category is Bill Payments
How do I renew my expired debit card?,Card Services,Card Issuance,the top category is Card Services - the sub category is Card Issuance
Can you explain the ATM withdrawals fee on my account?,Account Management,Security and Access,the top category is Account Management - the sub category is Security and Access
"I noticed an unexpected transaction charge, what is this for?",Loans and Mortgages,Card Issuance,the top category is Loans and Mortgages - the sub category is Card Issuance
What are the eligibility criteria for a commercial property loan?,Loans and Mortgages,Loan Application,the top category is Loans and Mortgages - the sub category is Loan Application
"I noticed an unexpected transaction charge, what is this for?",Account Management,Feedback and Suggestions,the top category is Account Management - the sub category is Feedback and Suggestions
Why was I charged a fee for wire transfers?,Account Management,Rates and Terms,the top category is Account Management - the sub category is Rates and Terms
"I noticed an unexpected transaction charge, what is this for?",Account Management,Account Maintenance,the top category is Account Management - the sub category is Account Maintenance
Can I view my e-statements on the mobile app?,Online and Mobile Banking,Digital Banking Features,the top category is Online and Mobile Banking - the sub category is Digital Banking Features
How can I avoid transaction fees in the future?,Payments and Transfers,Lost/Stolen Cards,the top category is Payments and Transfers - the sub category is Lost/Stolen Cards
Why was I charged a fee for transaction?,Account Management,Lost/Stolen Cards,the top category is Account Management - the sub category is Lost/Stolen Cards
Why was I charged a fee for online banking?,Online and Mobile Banking,Fee Waivers,the top category is Online and Mobile Banking - the sub category is Fee Waivers
What are the fees associated with wire transfers?,Fees and Charges,Account Information,the top category is Fees and Charges - the sub category is Account Information
How can I avoid account maintenance fees in the future?,Payments and Transfers,Loan Repayment,the top category is Payments and Transfers - the sub category is Loan Repayment
I want to know the status of my recent wire transfer.,Transaction Services,Transaction Inquiry,the top category is Transaction Services - the sub category is Transaction Inquiry
"I noticed an unexpected online banking charge, what is this for?",Loans and Mortgages,Special Requests,the top category is Loans and Mortgages - the sub category is Special Requests
Are there any prepayment penalties on your home loans?,Loans and Mortgages,Loan Repayment,the top category is Loans and Mortgages - the sub category is Loan Repayment
Can you explain the transaction fee on my account?,Customer Service,Fee Waivers,the top category is Customer Service - the sub category is Fee Waivers
What types of accounts can I open as a student?,Account Management,Account Opening,the top category is Account Management - the sub category is Account Opening
"I noticed an unexpected wire transfers charge, what is this for?",Loans and Mortgages,Wire Transfers,the top category is Loans and Mortgages - the sub category is Wire Transfers
Can you explain the online banking fee on my account?,Online and Mobile Banking,Complaint Handling,the top category is Online and Mobile Banking - the sub category is Complaint Handling
What is the penalty for early withdrawal from a fixed deposit?,Savings and Investments,Rates and Terms,the top category is Savings and Investments - the sub category is Rates and Terms
How do I set up two-factor authentication for my account?,Online and Mobile Banking,Security and Access,the top category is Online and Mobile Banking - the sub category is Security and Access
I want to apply for a new credit card.,Card Services,Card Issuance,the top category is Card Services - the sub category is Card Issuance
Why was I charged a fee for ATM withdrawals?,Customer Service,Technical Support,the top category is Customer Service - the sub category is Technical Support
Why was I charged a fee for transaction?,Loans and Mortgages,Security Measures,the top category is Loans and Mortgages - the sub category is Security Measures
Why was I charged a fee for wire transfers?,Savings and Investments,Technical Support,the top category is Savings and Investments - the sub category is Technical Support
Can you explain the wire transfers fee on my account?,Transaction Services,Card Issuance,the top category is Transaction Services - the sub category is Card Issuance
What are the fees associated with transaction?,Card Services,Bill Payments,the top category is Card Services - the sub category is Bill Payments
Can you explain the online banking fee on my account?,Savings and Investments,Loan Repayment,the top category is Savings and Investments - the sub category is Loan Repayment
How can I avoid account maintenance fees in the future?,Account Management,Rates and Terms,the top category is Account Management - the sub category is Rates and Terms
Can I deactivate my credit card temporarily?,Card Services,Card Activation/Deactivation,the top category is Card Services - the sub category is Card Activation/Deactivation
"I noticed an unexpected account maintenance charge, what is this for?",Customer Service,Card Activation/Deactivation,the top category is Customer Service - the sub category is Card Activation/Deactivation
Why was I charged a fee for ATM withdrawals?,Payments and Transfers,Technical Support,the top category is Payments and Transfers - the sub category is Technical Support
How to get a mini statement for my checking account?,Account Management,Account Information,the top category is Account Management - the sub category is Account Information
Can you explain the online banking fee on my account?,Account Management,Feedback and Suggestions,the top category is Account Management - the sub category is Feedback and Suggestions
What are the fees associated with wire transfers?,Loans and Mortgages,Special Requests,the top category is Loans and Mortgages - the sub category is Special Requests
I received my new card but it’s not working.,Card Services,Card Issuance,the top category is Card Services - the sub category is Card Issuance
"My wire transfer hasn't arrived, what should I do?",Payments and Transfers,Wire Transfers,the top category is Payments and Transfers - the sub category is Wire Transfers
"I noticed an unexpected wire transfers charge, what is this for?",Loans and Mortgages,Mortgage Services,the top category is Loans and Mortgages - the sub category is Mortgage Services
Why was I charged a fee for online banking?,Card Services,Understanding Fees,the top category is Card Services - the sub category is Understanding Fees
Why was I charged a fee for transaction?,Payments and Transfers,Payment Disputes,the top category is Payments and Transfers - the sub category is Payment Disputes
Can you explain the account maintenance fee on my account?,Fraud and Security,Lost/Stolen Cards,the top category is Fraud and Security - the sub category is Lost/Stolen Cards
How can I avoid transaction fees in the future?,Customer Service,Rates and Terms,the top category is Customer Service - the sub category is Rates and Terms
How can I avoid ATM withdrawals fees in the future?,Payments and Transfers,Transaction Disputes,the top category is Payments and Transfers - the sub category is Transaction Disputes
Why was I charged a fee for ATM withdrawals?,Savings and Investments,Account Maintenance,the top category is Savings and Investments - the sub category is Account Maintenance
I noticed an unauthorized transaction on my account.,Transaction Services,Transaction Disputes,the top category is Transaction Services - the sub category is Transaction Disputes
How can I avoid ATM withdrawals fees in the future?,Card Services,Understanding Fees,the top category is Card Services - the sub category is Understanding Fees
How can I avoid ATM withdrawals fees in the future?,Card Services,Reporting Fraud,the top category is Card Services - the sub category is Reporting Fraud
Why was I charged a fee for ATM withdrawals?,Card Services,Understanding Fees,the top category is Card Services - the sub category is Understanding Fees
How can I avoid wire transfers fees in the future?,Transaction Services,Identity Theft,the top category is Transaction Services - the sub category is Identity Theft
How can I avoid transaction fees in the future?,Account Management,Digital Banking Features,the top category is Account Management - the sub category is Digital Banking Features
Can you explain the online banking fee on my account?,Customer Service,Security Measures,the top category is Customer Service - the sub category is Security Measures
Is it possible to request an exception to a banking fee?,Customer Service,Special Requests,the top category is Customer Service - the sub category is Special Requests
Why was I charged a fee for transaction?,Fraud and Security,Identity Theft,the top category is Fraud and Security - the sub category is Identity Theft
"I noticed an unexpected wire transfers charge, what is this for?",Customer Service,Special Requests,the top category is Customer Service - the sub category is Special Requests
How can I avoid transaction fees in the future?,Online and Mobile Banking,Loan Application,the top category is Online and Mobile Banking - the sub category is Loan Application
